data_id,data_name,allocation_method,routing_heuristic,merge_strategy,allocation_time,allocation_bytes,route_time,route_bytes,merge_time,merge_bytes,distance,sum_pickers
2,SLAPRP_Guo_small_O100_alpha0.2_v10.txt,ALS,GREEDY,CLARKE_WRIGHT,11.61731,323333590,0.0031946,687582,2.2104343,4064385783,948.0,7
2,SLAPRP_Guo_small_O100_alpha0.2_v10.txt,ALS,GREEDY,CLARKE_WRIGHT_HEURISTIC,11.61731,323333590,0.0031833,688046,0.0022125,1545198,1394.0,8
2,SLAPRP_Guo_small_O100_alpha0.2_v10.txt,ALS,GREEDY,NO_HEURISTIC,11.61731,323333590,0.0045214,687614,0.0,0,4494.0,102
2,SLAPRP_Guo_small_O100_alpha0.2_v10.txt,ABC,ASTAR_HEURISTIC,CLARKE_WRIGHT,0.4090563,60713200,0.003996,1784366,2.2631583,3811686967,790.0,10
2,SLAPRP_Guo_small_O100_alpha0.2_v10.txt,ABC,ASTAR_HEURISTIC,CLARKE_WRIGHT_HEURISTIC,0.4090563,60713200,0.0039448,1784526,0.0015615,1582654,1176.0,7
2,SLAPRP_Guo_small_O100_alpha0.2_v10.txt,ABC,ASTAR_HEURISTIC,NO_HEURISTIC,0.4090563,60713200,0.00475,1784366,0.0,0,2764.0,102
2,SLAPRP_Guo_small_O100_alpha0.2_v10.txt,ABC,GREEDY,CLARKE_WRIGHT,0.4090563,60713200,0.003306,685678,2.2037947,3741334311,658.0,10
2,SLAPRP_Guo_small_O100_alpha0.2_v10.txt,ABC,GREEDY,CLARKE_WRIGHT_HEURISTIC,0.4090563,60713200,0.0033884,686126,0.0015924,1504814,990.0,8
2,SLAPRP_Guo_small_O100_alpha0.2_v10.txt,ABC,GREEDY,NO_HEURISTIC,0.4090563,60713200,0.0040951,685646,0.0,0,2692.0,102
2,SLAPRP_Guo_small_O100_alpha0.2_v10.txt,ABC_HEURISTIC,ASTAR_HEURISTIC,CLARKE_WRIGHT,0.3822855,57199472,0.0085691,1782078,2.3890832,4087091141,868.0,10
2,SLAPRP_Guo_small_O100_alpha0.2_v10.txt,ABC_HEURISTIC,ASTAR_HEURISTIC,CLARKE_WRIGHT_HEURISTIC,0.3822855,57199472,0.0046751,1782158,0.00245,1568990,1362.0,8
2,SLAPRP_Guo_small_O100_alpha0.2_v10.txt,ABC_HEURISTIC,ASTAR_HEURISTIC,NO_HEURISTIC,0.3822855,57199472,0.004339,1782014,0.0,0,2912.0,102
