data_id,data_name,do_abc,do_allocation,do_message_passing,do_cw,allocation_time,allocation_bytes,route_time,route_bytes,cw_time,cw_bytes,distance,sum_pickers
7,SLAPRP_Guo_small_O100_alpha0.2_v6.txt,true,true,false,true,0.2034643,24380095,0.0023693,752359,1.2775035,2984409957,206.0,7
7,SLAPRP_Guo_small_O100_alpha0.2_v6.txt,false,true,true,false,3.0857063,94458386,0.0014294,762071,0,0,1852.0,100
7,SLAPRP_Guo_small_O100_alpha0.2_v6.txt,false,true,true,true,3.0857063,94458386,0.0014294,762071,1.2325958,2887789685,334.0,9
7,SLAPRP_Guo_small_O100_alpha0.2_v6.txt,false,true,false,false,1.7162744,87811760,0.0015456,721671,0,0,2704.0,100
7,SLAPRP_Guo_small_O100_alpha0.2_v6.txt,false,true,false,true,1.7162744,87811760,0.0015456,721671,1.631729,3132916823,362.0,7
8,SLAPRP_Guo_small_O100_alpha0.2_v7.txt,true,true,false,false,0.2024533,24336511,0.0024508,765895,0,0,1882.0,104
8,SLAPRP_Guo_small_O100_alpha0.2_v7.txt,true,true,false,true,0.2024533,24336511,0.0024508,765895,1.3797561,3244699189,232.0,6
8,SLAPRP_Guo_small_O100_alpha0.2_v7.txt,false,true,true,false,41.779487,95079618,0.0026995,752471,0,0,1838.0,104
8,SLAPRP_Guo_small_O100_alpha0.2_v7.txt,false,true,true,true,41.779487,95079618,0.0026995,752471,1.5084404,3074506869,266.0,6
8,SLAPRP_Guo_small_O100_alpha0.2_v7.txt,false,true,false,false,14.1931141,87919408,0.003002,721815,0,0,2690.0,104
8,SLAPRP_Guo_small_O100_alpha0.2_v7.txt,false,true,false,true,14.1931141,87919408,0.003002,721815,1.5954423,3335697413,404.0,6
9,SLAPRP_Guo_small_O100_alpha0.2_v8.txt,true,true,false,false,0.2320209,24440271,0.0020738,711367,0,0,1658.0,101
9,SLAPRP_Guo_small_O100_alpha0.2_v8.txt,true,true,false,true,0.2320209,24440271,0.0020738,711367,1.5042633,3132134951,248.0,6
9,SLAPRP_Guo_small_O100_alpha0.2_v8.txt,false,true,true,false,11.1591347,82585663,0.0016915,665655,0,0,1628.0,101
9,SLAPRP_Guo_small_O100_alpha0.2_v8.txt,false,true,true,true,11.1591347,82585663,0.0016915,665655,1.4950524,2902542725,262.0,8
9,SLAPRP_Guo_small_O100_alpha0.2_v8.txt,false,true,false,false,10.8889921,75942582,0.0015925,703431,0,0,1822.0,101
9,SLAPRP_Guo_small_O100_alpha0.2_v8.txt,false,true,false,true,10.8889921,75942582,0.0015925,703431,1.6170837,3221040789,314.0,6
10,SLAPRP_Guo_small_O100_alpha0.2_v9.txt,true,true,false,false,0.2439992,24378607,0.0031518,794359,0,0,1768.0,101
10,SLAPRP_Guo_small_O100_alpha0.2_v9.txt,true,true,false,true,0.2439992,24378607,0.0031518,794359,1.5419975,3047517351,260.0,9
10,SLAPRP_Guo_small_O100_alpha0.2_v9.txt,false,true,true,false,34.9585154,520882238,0.0015252,759879,0,0,1870.0,101
10,SLAPRP_Guo_small_O100_alpha0.2_v9.txt,false,true,true,true,34.9585154,520882238,0.0015252,759879,1.3964885,3211589591,334.0,7
10,SLAPRP_Guo_small_O100_alpha0.2_v9.txt,false,true,false,false,240.0618617,516522204,0.0014692,702727,0,0,3850.0,101
